id,date_es,date_en,title_es,title_en,company,description_es,description_en,sort_order
1,Ene 2025 - actualidad,Jan 2025 - Present,Data & Analytics Technical Leader,Data & Analytics Technical Leader,Mercado Libre,"<li>Lideré un equipo de +6 analistas y científicos de datos, impulsando una cultura de innovación que permitió aumentar un 30% la adopción de soluciones de IA en áreas clave del negocio.</li><li>Diseñé una API forense unificada para productos de Security en User Accounts con Python + Flask, desplegada en serverless de baja latencia.</li><li>Implementé un ecosistema MCP para consumo seguro de la API forense vía LLMs: accesos desde IDEs y Meli-GPT, y automatizaciones vía Verdi-Flow (n8n).</li><li>Alineé la estrategia de Data & Analytics con los objetivos corporativos priorizando iniciativas de alto impacto que contribuyeron a aumentar la eficiencia operativa en un 20%.</li><li>Fomenté una cultura de alto rendimiento mediante mentoring, programas de upskilling y metodologías ágiles, elevando el eNPS del equipo en más de 25 puntos en menos de un año.</li><li>Implementé soluciones analíticas que redujeron el tiempo de análisis de datos en un 40%, mediante modelos predictivos, dashboards dinámicos y automatización de reportes.</li><li>Diseñé e implementé arquitecturas RAG para sistemas de knowledge management, mejorando la precisión contextual de las respuestas generadas por LLMs en un 35%.</li><li>Lideré la evaluación y adopción de tecnologías emergentes (MLOps, vector DBs, LLMs), manteniendo al equipo a la vanguardia y acelerando el time-to-market de soluciones de IA en un 50%.</li><li>Impulsé proyectos de transformación basada en datos que resolvieron desafíos complejos de negocio, generando +USD 500K en impacto estimado anual.</li>","<li>Led a team of +6 analysts and data scientists, fostering a culture of innovation that increased AI solution adoption by 30% in key business areas.</li><li>Designed a unified forensic API for Security products in User Accounts with Python + Flask, deployed in serverless with low latency.</li><li>Implemented an MCP ecosystem for secure consumption of the forensic API via LLMs: access from IDEs and Meli-GPT, and automations via Verdi-Flow (n8n).</li><li>Aligned Data & Analytics strategy with corporate objectives, prioritizing high-impact initiatives that increased operational efficiency by 20%.</li><li>Fostered a high-performance culture through mentoring, upskilling, and agile methodologies, raising team eNPS by over 25 points in less than a year.</li><li>Implemented analytical solutions that reduced data analysis time by 40% through predictive models, dynamic dashboards, and report automation.</li><li>Designed and implemented RAG architectures for knowledge management systems, improving contextual accuracy of LLM responses by 35%.</li><li>Led the evaluation and adoption of emerging technologies (MLOps, vector DBs, LLMs), keeping the team at the forefront and accelerating the time-to-market for AI solutions by 50%.</li><li>Drove data-driven transformation projects that solved complex business challenges, generating an estimated annual impact of +USD 500K.</li>",0
2,Dic 2023 - Feb 2025,Dec 2023 - Feb 2025,Sr Data & Analytics Engineer,Sr. Data & Analytics Engineer,Mercado Libre,"<li>Diseñé, construí y mantuve el modelo de datos de login (MP, ML, ME), asegurando su disponibilidad y confiabilidad a nivel organizacional.</li><li>Desarrollé dashboards estratégicos para monitorear métricas clave como conversión de login, recuperación de cuentas y uso de factores de autenticación.</li><li>Automaticé la actualización diaria de los modelos de datos mediante scripts eficientes, reduciendo significativamente el costo operativo y la intervención manual.</li><li>Construí una API REST desde cero para analizar transacciones de login y automatizar decisiones en Customer Experience, Prevención de Fraude y GIN.</li><li>Lideré la migración del modelo de autenticación de Amazon Athena a Google BigQuery, mejorando la escalabilidad, velocidad y mantenibilidad de la infraestructura de datos.</li><li>Implementé prácticas de seguridad avanzadas en los procesos de autenticación, fortaleciendo la protección del acceso de usuarios y la robustez del sistema.</li>","<li>Designed, built, and maintained the login data model (MP, ML, ME), ensuring its organizational availability and reliability.</li><li>Developed strategic dashboards to monitor key metrics such as login conversion, account recovery, and use of authentication factors.</li><li>Automated the daily update of data models through efficient scripts, significantly reducing operational cost and manual intervention.</li><li>Built a REST API from scratch to analyze login transactions and automate decisions in Customer Experience, Fraud Prevention, and GIN.</li><li>Led the migration of the authentication model from Amazon Athena to Google BigQuery, improving the scalability, speed, and maintainability of the data infrastructure.</li><li>Implemented advanced security practices in authentication processes, strengthening user access protection and system robustness.</li>",1
3,May 2022 - Dic 2023,May 2022 - Dec 2023,Shipping Product Owner,Shipping Product Owner,Mercado Libre,"<li>Detecté oportunidades de mejora y nuevas funcionalidades a partir del análisis de datos de uso y feedback de usuarios.</li><li>Colaboré con equipos de desarrollo y áreas de negocio para definir la estrategia y roadmap del producto, asegurando la alineación con los objetivos corporativos.</li><li>Realicé análisis de mercado y competencia para sustentar decisiones estratégicas.</li><li>Gestioné el backlog priorizando funcionalidades según impacto y viabilidad, mejorando la eficiencia en la entrega.</li><li>Monitoreé métricas clave de negocio y producto (adopción, conversión, retención), impulsando decisiones de optimización.</li>","<li>Identified improvement opportunities and new functionalities from usage data analysis and user feedback.</li><li>Collaborated with development and business teams to define the product strategy and roadmap, ensuring alignment with corporate objectives.</li><li>Conducted market and competitor analysis to support strategic decisions.</li><li>Managed the backlog by prioritizing functionalities according to impact and feasibility, improving delivery efficiency.</li><li>Monitored key business and product metrics (adoption, conversion, retention), driving optimization decisions.</li>",2
4,Ene 2021 - Jun 2022,Jan 2021 - Jun 2022,Cross Docking Sr. Analyst,Sr. Cross Docking Analyst,Mercado Libre,"<li>Estandaricé KPIs y reportes a nivel regional, definiendo métricas clave que permitieron un análisis consistente y comparativo entre países y unidades operativas.</li><li>Implementé un sistema de monitoreo de indicadores operativos críticos, optimizando la eficiencia del negocio y mejorando la experiencia del cliente en puntos clave del journey.</li><li>Lideré iniciativas de mejora continua en operaciones de cross docking en MLA, logrando reducciones en tiempos de procesamiento y costos logísticos.</li><li>Coordiné directamente con operadores logísticos (3PL), negociando acuerdos y planificando acciones que mejoraron el rendimiento y la confiabilidad del servicio.</li><li>Planifiqué y executé la expansión de infraestructura logística mediante la apertura de nuevos centros de cross docking en Argentina, aumentando la capacidad operativa y reduciendo costos de botella.</li>","<li>Standardized KPIs and reports at a regional level, defining key metrics that allowed for consistent and comparative analysis between countries and operational units.</li><li>Implemented a monitoring system for critical operational indicators, optimizing business efficiency and improving the customer experience at key journey points.</li><li>Led continuous improvement initiatives in cross-docking operations in MLA, achieving reductions in processing times and logistics costs.</li><li>Coordinated directly with logistics operators (3PL), negotiating agreements and planning actions that improved service performance and reliability.</li><li>Planned and executed the expansion of logistics infrastructure through the opening of new cross-docking centers in Argentina, increasing operational capacity and reducing bottleneck costs.</li>",3
5,Ago 2020 - Ene 2021,Aug 2020 - Jan 2021,Cross Docking Ssr. Analyst,Ssr. Cross Docking Analyst,Mercado Libre,"<li>Monitoreé y analicé KPIs operativos como Out On Time, In On Time y NPS de forma diaria, contribuyendo a la optimización de la operación de Mercado Envíos.</li><li>Detecté oportunidades de mejora a través del análisis de procesos operativos, impulsando acciones correctivas que elevaron la eficiencia y calidad del servicio.</li><li>Diseñé e implementé planes de capacitación para equipos operativos, mejorando los tiempos de ejecución y fortaleciendo el cumplimiento de estándares internos.</li><li>Realicé auditorías a proveedores logísticos, evaluando su desempeño y garantizando el cumplimiento de los niveles de servicio establecidos por la compañía.</li>","<li>Monitored and analyzed operational KPIs such as Out On Time, In On Time, and NPS on a daily basis, contributing to the optimization of the Mercado Envíos operation.</li><li>Identified improvement opportunities through the analysis of operational processes, driving corrective actions that increased service efficiency and quality.</li><li>Designed and implemented training plans for operational teams, improving execution times and strengthening compliance with internal standards.</li><li>Conducted audits of logistics providers, evaluating their performance and ensuring compliance with the service levels established by the company.</li>",4
6,May 2019 - Ago 2020,May 2019 - Aug 2020,Cross Docking Team Leader,Cross Docking Team Leader,Mercado Libre,"<li>Lideré y coordiné equipos operativos en inbound, sorting, outbound y dispatch, asegurando el cumplimiento consistente de objetivos clave de productividad y calidad.</li><li>Fomenté una cultura de trabajo motivadora, equilibrando la priorización de metas con el bienestar y disfrute del equipo, aumentando el compromiso y la retención.</li><li>Implementé procesos de feedback individual y grupal, junto con actividades motivacionales y planes de desarrollo, mejorando el desempeño y la cohesión del equipo.</li><li>Optimicé la gestión de tiempos productivos, ausencias y llegadas tardías, incrementando la eficiencia operativa y reduciendo pérdidas de productividad.</li><li>Analicé el desempeño del equipo y diseñé estrategias de mejora continua que incrementaron la productividad general de la operación.</li>","<li>Led and coordinated operational teams in inbound, sorting, outbound, and dispatch, ensuring consistent achievement of key productivity and quality objectives.</li><li>Fostered a motivating work culture, balancing goal prioritization with team well-being and enjoyment, increasing commitment and retention.</li><li>Implemented individual and group feedback processes, along with motivational activities and development plans, improving team performance and cohesion.</li><li>Optimized the management of productive times, absences, and late arrivals, increasing operational efficiency and reducing productivity losses.</li><li>Analyzed team performance and designed continuous improvement strategies that increased the overall productivity of the operation.</li>",5
13,Feb 2026 - actualidad,Feb 2026 - Present,Data Science Instructor,Data Science Instructor,Henry,<li>Instructor de Machine Learning y Deep Learning: Facilitación de clases teóricas y prácticas enfocadas en el ciclo de vida completo de modelos predictivos.</li><li>Desarrollo de contenido educativo avanzado sobre aprendizaje supervisado y no supervisado utilizando el stack profesional de Python.</li><li>Mentoría técnica y acompañamiento individualizado a estudiantes en la optimización de modelos.</li>,<li>Machine Learning and Deep Learning Instructor: Facilitating theoretical and practical classes focused on the complete lifecycle of predictive models.</li><li>Development of advanced educational content on supervised and unsupervised learning using Python's professional stack.</li><li>Technical mentoring and individualized support to students on model optimization.</li>,6
14,Oct 2025 - actualidad,Oct 2025 - Present,AI Automation Instructor,AI Automation Instructor,Henry,<li>Instructor de Automatización e Inteligencia Artificial Generativa: Facilitación de clases sobre n8n y herramientas de GenAI para diseñar flujos automatizados.</li><li>Desarrollo de contenido educativo práctico sobre automatización low-code/no-code y aprovechamiento de modelos de lenguaje.</li><li>Mentoría técnica y acompañamiento individualizado para potenciar el pensamiento lógico de los estudiantes.</li>,<li>Automation and Generative AI Instructor: Facilitating classes on n8n and GenAI tools to design automated workflows.</li><li>Development of practical educational content on low-code/no-code automation and strategic use of language models.</li><li>Technical mentoring and individualized support to enhance students' logical thinking.</li>,7
7,Dic 2024 - Feb 2026,Dec 2024 - Feb 2026,Data & Analytics Expert,Data & Analytics Expert,Henry,"<li>Liderazgo académico en Data & Analytics: Diseño de experiencias educativas transformadoras en herramientas clave como Power BI, Excel y Looker Studio.</li><li>Diseño instruccional y estructuración de contenidos: Maquetación de cursos con enfoque pedagógico, definiendo temáticas, secuencia de aprendizaje y recursos didácticos.</li><li>Desarrollo de proyectos aplicados: Creación de proyectos integradores que promueven el aprendizaje activo y la aplicación práctica de conceptos.</li><li>Elaboración de materiales didácticos de calidad: Redacción de soluciones, ejercicios y explicaciones detalladas que fortalecen el proceso de aprendizaje.</li><li>Planificación académica estratégica: Definición de programas de curso con objetivos claros, cronograma preciso y criterios de evaluación alineados al perfil profesional buscado.</li><li>Compromiso con la excelencia educativa: Garantía de programas actualizados, relevantes y orientados a preparar a los estudiantes para desafíos reales del mercado laboral.</li><li>Innovación en la enseñanza de herramientas de análisis: Aplicación de metodologías activas para potenciar la formación en herramientas líderes del mercado.</li><li>Enfoque en la mejora continua: Iteración constante de los cursos para asegurar su pertinencia y efectividad pedagógica.</li>","<li>Academic leadership in Data & Analytics: Designing transformative educational experiences in key tools like Power BI, Excel, and Looker Studio.</li><li>Instructional design and content structuring: Course layout with a pedagogical approach, defining themes, learning sequences, and didactic resources.</li><li>Development of applied projects: Creation of integrative projects that promote active learning and the practical application of concepts.</li><li>Elaboration of quality didactic materials: Writing solutions, exercises, and detailed explanations that strengthen the learning process.</li><li>Strategic academic planning: Definition of course programs with clear objectives, precise schedules, and evaluation criteria aligned with the desired professional profile.</li><li>Commitment to educational excellence: Ensuring updated, relevant programs oriented to prepare students for real market challenges.</li><li>Innovation in teaching analytical tools: Application of active methodologies to enhance training in leading market tools.</li><li>Focus on continuous improvement: Constant iteration of courses to ensure their relevance and pedagogical effectiveness.</li>",8
8,May 2024 - actualidad,May 2024 - Present,Data Analytics Instructor,Data Analytics Instructor,Henry,"<li>Instructor de Data Analytics con foco en Python: Facilitación de clases teóricas y prácticas orientadas a la manipulación de datos, visualización y modelado estadístico.</li><li>Desarrollo de contenido educativo de alto impacto y acompañamiento personalizado al estudiante.</li>","<li>Data Analytics Instructor with a focus on Python: Facilitating theoretical and practical classes aimed at data manipulation, visualization, and statistical modeling.</li><li>Development of high-impact educational content and personalized student support.</li>",9
9,Jul 2024 - actualidad,Jul 2024 - Present,Adjunct Professor,Adjunct Professor,UADE,"<li>Docente de programación en nivel universitario: Liderazgo en la formación de estudiantes en su primer contacto formal con la programación.</li><li>Diseño y actualización del plan académico del Taller de Programación I, incorporando buenas prácticas y tendencias actuales.</li>","<li>University-level programming instructor: Leading the training of students in their first formal contact with programming.</li><li>Design and updating of the academic plan for Programming Workshop I, incorporating best practices and current trends.</li>",10
10,Feb 2011 - Feb 2019,Feb 2011 - Feb 2019,Warehouse Supervisor / Operations Sr. Analyst,Warehouse Supervisor / Operations Sr. Analyst,El Portugues,"<li>Supervisión operativa de centro logístico: Gestión integral de un warehouse de 3.500 posiciones.</li><li>Coordinación de procesos clave: recepción, almacenamiento, preparación y despacho de mercadería.</li><li>Atención a clientes de primera línea: Arcor, La Anónima, Los Marías, Flora-Dánica y PepsiCo.</li>","<li>Operational supervision of logistics center: Comprehensive management of a 3,500-position warehouse.</li><li>Coordination of key processes: reception, storage, preparation, and dispatch of merchandise.</li><li>Service to first-line clients: Arcor, La Anónima, Los Marías, Flora-Dánica, and PepsiCo.</li>",11
11,Ene 2010 - Feb 2011,Jan 2010 - Feb 2011,Backoffice Analyst,Backoffice Analyst,SOLDA-LIMP S.R.L.,"<li>Gestión integral de ventas y facturación: Manejo completo del proceso de facturación de ventas, incluyendo remitos, control de stock, devoluciones y recepción/carga de pedidos.</li><li>Administración de medios de pago: Operación con cheques (al portador y cruzados), tarjetas de crédito y débito (POS), efectivo y realización de arqueos de caja.</li><li>Manejo de sistemas y herramientas: Uso del sistema de gestión Tango y dominio avanzado de Microsoft Office, especialmente Excel y PowerPoint.</li><li>Atención al cliente y asesoramiento comercial: Venta y recomendación de productos técnicos, electrodos, discos abrasivos, ropa de seguridad, máquinas de soldar, equipos de medición y control, entre otros.</li><li>Habilidades comerciales destacadas: Alta capacidad de persuasión y negociación para lograr cierres efectivos y fortalecer la relación con el cliente.</li>","<li>Comprehensive sales and invoicing management: Full handling of the sales invoicing process, including delivery notes, stock control, returns, and order reception/entry.</li><li>Payment methods administration: Operation with checks (bearer and crossed), credit and debit cards (POS), cash, and performing cash balancing.</li><li>Systems and tools management: Use of the Tango management system and advanced proficiency in Microsoft Office, especially Excel and PowerPoint.</li><li>Customer service and commercial advice: Sales and recommendation of technical products, electrodes, abrasive discs, safety clothing, welding machines, measurement and control equipment, among others.</li><li>Outstanding commercial skills: High capacity for persuasion and negotiation to achieve effective closings and strengthen the client relationship.</li>",12
12,Feb 2009 - Dic 2009,Feb 2009 - Dec 2009,Customer Services Representative,Customer Services Representative,UBICAR ARGENTINA,"<li>Atención al cliente especializada: Representación directa ante usuarios de sistemas de rastreo satelital (radiofrecuencia y GPS), brindando soporte técnico y comercial.</li><li>Coordinación operativa: Asignación de turnos para instalación de dispositivos y seguimiento de solicitudes de servicio técnico.</li><li>Verificación de funcionamiento: Chequeo remoto y diagnóstico del estado del sistema de rastreo ante requerimientos del cliente.</li><li>Soporte en back office: Configuración y administración de cuentas personales de clientes, actualización de datos y resolución de incidencias administrativas.</li><li>Comunicación clara y efectiva: Interacción fluida con usuarios, adaptando la comunicación técnica a distintos niveles de conocimiento para garantizar una experiencia satisfactoria.</li>","<li>Specialized customer service: Direct representation to users of satellite tracking systems (radiofrequency and GPS), providing technical and commercial support.</li><li>Operational coordination: Assignment of shifts for device installation and monitoring of technical service requests.</li><li>Functionality verification: Remote checking and diagnosis of the tracking system's status upon client request.</li><li>Back office support: Configuration and administration of clients' personal accounts, data updates, and resolution of administrative incidents.</li><li>Clear and effective communication: Fluid interaction with users, adapting technical communication to different levels of knowledge to ensure a satisfactory experience.</li>",13
