id,title_es,title_en,description_es,description_en,link,sort_order
17,[n8n-AI Automation] Serie de MasterClasses: Automatización con IA,[n8n-AI Automation] MasterClass Series: AI Automation,"Serie de masterclasses sobre automatización con IA y n8n para Henry Bootcamp. Incluye workflows completos de Marketing (Content Factory), Ventas (Lead Automation) y Finanzas (Monitor Financiero) con stack tecnológico 100% gratuito.","AI automation and n8n masterclass series for Henry Bootcamp. Includes complete workflows for Marketing (Content Factory), Sales (Lead Automation), and Finance (Financial Monitor) with 100% free tech stack.",https://github.com/Mgobeaalcoba/ai_automation_henry_masterclass,0
18,[Portfolio Web] CV Interactivo & Consultoría,[Web Portfolio] Interactive CV & Consulting,"Plataforma web moderna de CV/portfolio interactivo con servicios de consultoría, blog técnico y calculadoras financieras. Optimizado para performance (-40% bundle size) con arquitectura modular enterprise-ready.","Modern interactive CV/portfolio web platform with consulting services, technical blog, and financial calculators. Optimized for performance (-40% bundle size) with enterprise-ready modular architecture.",https://github.com/Mgobeaalcoba/Mgobeaalcoba.github.io,1
19,[Python-n8n] SDK y CLI n8n-flow-manager,[Python-n8n] n8n-flow-manager SDK & CLI,"SDK y CLI avanzado en Python para interactuar con la API pública de n8n. Incluye operaciones async, modelos type-safe con Pydantic, templates Jinja2 e integración con CI/CD. Publicado en PyPI con +11 estrellas en GitHub.","Advanced Python SDK and CLI to interact with n8n Public API. Includes async operations, type-safe Pydantic models, Jinja2 templates, and CI/CD integration. Published on PyPI with +11 GitHub stars.",https://github.com/Mgobeaalcoba/n8n-flow-manager,2
20,[MCP-FastMCP] Model Context Protocol para Cursor IDE,[MCP-FastMCP] Model Context Protocol for Cursor IDE,Proyecto educacional de demostración profesional para enseñar cómo conectar sistemas empresariales a IAs mediante Model Context Protocol (MCP) en Cursor IDE.,Professional educational demo project teaching how to connect enterprise systems to AIs via Model Context Protocol (MCP) in Cursor IDE.,https://github.com/Mgobeaalcoba/mcp_henry_masterclass,3
21,[RAG-LangChain] Cerebro Corporativo con RAG,[RAG-LangChain] Corporate Brain with RAG,"Demostración práctica de RAG (Retrieval Augmented Generation) para dar 'memoria' a los LLMs con documentación privada. Usa LangChain, ChromaDB y embeddings gratuitos de HuggingFace.","Practical demonstration of RAG (Retrieval Augmented Generation) to give 'memory' to LLMs with private documentation. Uses LangChain, ChromaDB, and free HuggingFace embeddings.",https://github.com/Mgobeaalcoba/masterclass_henry_ai_engineering,4
1,[Python-Pandas] Paquete PyPI Missing-mga,[Python-Pandas] Missing-mga Pandas API extends PyPI package,"Este paquete extiende la funcionalidad de Pandas DataFrame introduciendo una clase de Métodos de Ausencia, permitiendo un manejo intuitivo de valores faltantes.","This package extends Pandas DataFrame functionality by introducing a Missing Methods class, enabling intuitive handling of missing values.",https://github.com/Mgobeaalcoba/missing_mga,5
5,[Python - FastApi] Proyecto Quasar Fire,[Python - FastApi] Quasar Fire Project,API RESTful para determinar la ubicación de una señal de auxilio en el espacio mediante trilateración.,RESTful API to determine the location of a distress signal in space through trilateration.,https://github.com/Mgobeaalcoba/quasar-fire,6
7,[Python-FaceRecognition] Validador de Asistencia Facial,[Python-FaceRecognition] Face Assistance Validator,"App de verificación facial y control de acceso utilizando Python, OpenCV y Face-recognition.","Facial verification and access control app using Python, OpenCV, and Face-recognition.",https://github.com/Mgobeaalcoba/face_assistance_validator,7
12,[R-Shiny] App en Shiny para EDA de Lenguajes de Programación,[R-Shiny] Programming Languages EDA Shiny App,"App en R/Shiny para un desafío de Cohen Allados Financieros, realizando un EDA sobre un dataset de tidytuesday.","R/Shiny app for a Cohen Allados Financieros challenge, performing an EDA on a tidytuesday dataset.",https://github.com/Mgobeaalcoba/cohen_challenge_shiny_app,8
13,[Kotlin-Spring] Api Rest Trilateración,[Kotlin-Spring] Api Rest Trilateration,"Rest Api construida en GCP como parte de un desafío interno en Mercado Libre, utilizando Kotlin y Spring.","Rest Api built on GCP as part of an internal challenge at Mercado Libre, using Kotlin and Spring.",https://github.com/Mgobeaalcoba/api_rest_meli_challenge_public,9
2,[Python-Django] Web App para mi proyecto profesional personal,[Python-Django] Web App for my personal professional project,"Aplicación web Fullstack creada con Django que combina habilidades de frontend y backend, incluyendo endpoints, administración de bases de datos y conexión con servicios externos.","Fullstack Web App created with Django combining front and back skills, including endpoints, database administration, and connection with external services.",https://github.com/Mgobeaalcoba/matrix-global-analytics-webapp,10
3,[Python-Kaggle] Paquete Kaggle Downloader,[Python-Kaggle] Kaggle Downloader Package,"Una clase de Python que simplifica la interacción con Kaggle para la búsqueda, descarga y extracción de datasets.","A Python class that simplifies interaction with Kaggle for searching, downloading, and extracting datasets.",https://github.com/Mgobeaalcoba/kaggle_downloader_package,11
4,[Python-Package] Paquete PyPi Argendolar,[Python-Package] Argendolar PyPi package,Paquete de Python que facilita la obtención de tasas de cambio del peso argentino usando APIs como DolarApi.,Python package that facilitates obtaining exchange rates for the Argentine peso using APIs like DolarApi.,https://github.com/Mgobeaalcoba/argendolar,12
6,[Python-Django] App Web de Lista de Tareas,[Python-Django] To Do List Web App,Aplicación web en Django para gestionar tareas y listas de quehaceres de manera eficiente.,Web application in Django to efficiently manage tasks and to-do lists.,https://github.com/Mgobeaalcoba/django_python,13
8,[Python-Pygame] Videojuego Space Invasion,[Python-Pygame] Space Invasion Videogame,"Juego 'Space Invasion' creado 100% con Pygame y Python, aplicando POO y patrones de diseño.","'Space Invasion' game created 100% with Pygame and Python, applying OOP and design patterns.",https://github.com/Mgobeaalcoba/pygame_space_invasion,14
9,[Python-Scikit Learn] Predictor de Supervivencia en el Titanic,[Python-Scikit Learn] Survival Predictor On The Titanic,Modelo de Machine Learning y análisis para predecir la supervivencia de pasajeros en el Titanic.,Machine Learning model and analysis to predict passenger survival on the Titanic.,https://github.com/Mgobeaalcoba/survival_predictor_on_the_titanic_sci_kit_learn,15
10,[Python - SpeechRecognition] Asistente de Voz,[Python - SpeechRecognition] Voice Assistant,Asistente de voz basado en Python que utiliza librerías de NLP y reconocimiento de voz.,Python-based voice assistant using NLP and speech recognition libraries.,https://github.com/Mgobeaalcoba/voice_assistant,16
11,[Python - Tkinter] Software de Escritorio para Restaurante,[Python - Tkinter] Restaurant Desktop Software,Software de escritorio versátil construido con Python y la librería Tkinter GUI.,Versatile desktop software built with Python and the Tkinter GUI library.,https://github.com/Mgobeaalcoba/restaurant_desktop_software_tkinter,17
14,[Python-Django] Modelo de App Web,[Python-Django] Web App Model,"App en Django que permite registro, login, y gestión de tareas pendientes.","Django app that allows registration, login, and to-do list management.",https://github.com/Mgobeaalcoba/django_python,18
15,[Python - Flask] App CRUD,[Python - Flask] CRUD App,Una app hecha con Python y Flask que no es más que un software CRUD.,An app made with Python and Flask that is a CRUD software.,https://github.com/Mgobeaalcoba/flask_python,19
16,[Python - Pandas] Datacademy,[Python - Pandas] Datacademy,Proyecto diseñado como parte de una competencia de Análisis Exploratorio de Datos usando Python y sus librerías.,Project designed as part of an Exploratory Data Analysis competition using Python and its libraries.,https://github.com/Mgobeaalcoba/datacademy,20
